# time_ms,q_0,q_1,q_2,q_3,q_4,q_5,q_6,dq_0,dq_1,dq_2,dq_3,dq_4,dq_5,dq_6,tau_J_0,tau_J_1,tau_J_2,tau_J_3,tau_J_4,tau_J_5,tau_J_6,O_dP_EE_c_0,O_dP_EE_c_1,O_dP_EE_c_2,O_dP_EE_c_3,O_dP_EE_c_4,O_dP_EE_c_5
9688957.000000,2.271173,-1.155345,-1.701990,-1.435799,-1.140637,1.634688,0.524306,0.000090,-0.000327,0.000173,0.000894,0.000570,-0.000167,0.000935,0.054365,36.270184,22.587692,8.465757,0.882963,1.312057,-0.182328,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9688958.000000,2.271169,-1.155345,-1.701992,-1.435801,-1.140640,1.634685,0.524304,-0.000497,-0.000218,-0.000441,0.000039,-0.000739,-0.000348,-0.000089,0.078168,36.270184,22.611496,8.489561,0.913175,1.318465,-0.163102,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9688959.000000,2.271171,-1.155343,-1.701994,-1.435804,-1.140637,1.634686,0.524303,-0.000331,0.000504,-0.000851,-0.001087,0.000423,0.000242,-0.000331,0.078168,36.242413,22.635300,8.537169,0.888456,1.305648,-0.155778,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9688960.000000,2.271169,-1.155345,-1.701990,-1.435801,-1.140639,1.634686,0.524305,-0.000221,-0.000314,0.000546,0.000389,-0.000396,0.000399,0.000526,0.078168,36.270184,22.587692,8.489561,0.906766,1.299239,-0.175919,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9688961.000000,2.271156,-1.155347,-1.701994,-1.435804,-1.140640,1.634688,0.524304,-0.013610,-0.009443,-0.010609,-0.002061,-0.011494,0.001012,0.008334,-0.290789,35.853619,22.119553,8.588743,0.823453,1.279098,-0.136552,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9688962.000000,2.271148,-1.155328,-1.702012,-1.435806,-1.140627,1.634686,0.524315,-0.022790,-0.007414,-0.026039,0.001716,-0.010213,-0.002841,0.013965,-2.024493,33.969158,20.576279,8.858519,0.476469,1.247054,-0.083451,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9688963.000000,2.271145,-1.155287,-1.702073,-1.435795,-1.140622,1.634670,0.524351,-0.021448,0.007097,-0.045349,0.002773,-0.007955,-0.004693,0.026281,-5.095171,30.688213,18.168137,8.957701,0.064481,1.312057,-0.122819,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9688964.000000,2.271120,-1.155287,-1.702174,-1.435776,-1.140648,1.634658,0.524387,-0.010349,0.011441,-0.061497,0.005735,-0.016032,-0.007526,0.031565,-8.138080,27.359661,15.541794,8.687925,-0.103060,1.422836,-0.064225,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9688965.000000,2.271080,-1.155339,-1.702290,-1.435781,-1.140704,1.634663,0.524440,-0.003465,0.002268,-0.063647,-0.005497,-0.027236,-0.002198,0.042282,-10.193133,24.542889,12.943222,8.168211,-0.001437,1.467696,-0.037675,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9688966.000000,2.271041,-1.155421,-1.702429,-1.435823,-1.140788,1.634716,0.524503,-0.000660,-0.015273,-0.082418,-0.022247,-0.046328,0.011586,0.049871,-11.034198,22.388653,11.027023,7.549315,0.285123,1.247054,-0.011124,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
