# time_ms,q_0,q_1,q_2,q_3,q_4,q_5,q_6,dq_0,dq_1,dq_2,dq_3,dq_4,dq_5,dq_6,tau_J_0,tau_J_1,tau_J_2,tau_J_3,tau_J_4,tau_J_5,tau_J_6,O_dP_EE_c_0,O_dP_EE_c_1,O_dP_EE_c_2,O_dP_EE_c_3,O_dP_EE_c_4,O_dP_EE_c_5
10408058.000000,-2.338445,-1.662595,1.184001,-1.421777,1.728304,1.205217,-0.570907,0.000402,0.004499,-0.000434,0.001071,0.000142,-0.000083,0.000781,-0.144000,40.110516,-22.742508,-4.189882,0.978177,1.331283,-0.235429,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10408059.000000,-2.338447,-1.662593,1.184003,-1.421780,1.728303,1.205216,-0.570914,-0.000383,0.003953,0.000360,-0.000399,-0.000143,-0.000055,-0.001683,-0.116229,40.086712,-22.770279,-4.142274,0.984586,1.331283,-0.175919,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10408060.000000,-2.338448,-1.662595,1.184003,-1.421780,1.728303,1.205215,-0.570913,-0.000814,0.002376,0.000240,-0.000266,-0.000095,-0.000511,-0.000885,-0.092425,40.110516,-22.770279,-4.142274,0.984586,1.344100,-0.182328,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10408061.000000,-2.338445,-1.662593,1.184003,-1.421780,1.728302,1.205215,-0.570914,0.000663,0.002364,0.000160,-0.000177,-0.000504,-0.000104,-0.001065,-0.144000,40.086712,-22.770279,-4.142274,0.996488,1.337692,-0.169511,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10408062.000000,-2.338438,-1.662600,1.184004,-1.421779,1.728302,1.205216,-0.570909,0.006640,-0.000866,0.002120,0.001722,0.000783,-0.000815,-0.001568,0.129743,40.062908,-22.718704,-4.090700,0.966276,1.357833,-0.274796,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10408063.000000,-2.338437,-1.662602,1.184005,-1.421779,1.728306,1.205210,-0.570933,0.012988,-0.002118,0.002152,0.005551,0.000681,0.002629,-0.011841,1.268354,39.721722,-22.472733,-3.868532,0.835355,1.507064,-0.248246,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10408064.000000,-2.338406,-1.662602,1.184026,-1.421771,1.728304,1.205211,-0.570975,0.022302,0.002129,0.011563,0.007837,-0.003775,0.003615,-0.024289,2.851301,39.130596,-22.325943,-3.598757,0.679716,1.708480,-0.221696,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10408065.000000,-2.338354,-1.662597,1.184054,-1.421780,1.728289,1.205227,-0.571019,0.027112,0.003229,0.019306,0.001362,-0.005852,0.008007,-0.033413,4.759565,38.325237,-22.079971,-3.102846,0.613798,1.825668,-0.320573,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10408066.000000,-2.338294,-1.662604,1.184085,-1.421786,1.728263,1.205273,-0.571101,0.032442,0.002959,0.019896,-0.000454,-0.013195,0.021151,-0.051388,6.814619,37.662701,-21.738785,-2.706117,0.578092,1.793624,-0.261979,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10408067.000000,-2.338207,-1.662608,1.184128,-1.421809,1.728225,1.205341,-0.571192,0.043930,0.001887,0.028047,-0.009489,-0.020468,0.039027,-0.065375,8.496747,37.004131,-21.445206,-2.237978,0.596403,1.649886,-0.301347,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
