# time_ms,q_0,q_1,q_2,q_3,q_4,q_5,q_6,dq_0,dq_1,dq_2,dq_3,dq_4,dq_5,dq_6,tau_J_0,tau_J_1,tau_J_2,tau_J_3,tau_J_4,tau_J_5,tau_J_6,O_dP_EE_c_0,O_dP_EE_c_1,O_dP_EE_c_2,O_dP_EE_c_3,O_dP_EE_c_4,O_dP_EE_c_5
14439647.000000,-0.258952,0.525400,0.336325,-1.429457,-0.177216,1.925365,0.096744,0.000214,0.000657,-0.000057,-0.000092,0.000032,0.000082,-0.000143,-0.044818,-38.878132,4.647629,19.637632,0.237516,1.955673,0.061202,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14439648.000000,-0.258954,0.525399,0.336323,-1.429455,-0.177216,1.925365,0.096746,-0.000507,-0.000119,-0.000595,0.000496,0.000021,0.000055,0.000617,-0.017047,-38.854328,4.671432,19.613829,0.237516,1.955673,0.041976,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14439649.000000,-0.258958,0.525399,0.336325,-1.429455,-0.177216,1.925364,0.096739,-0.000895,-0.000079,0.000160,0.000331,-0.000189,-0.000201,-0.002030,0.006757,-38.854328,4.647629,19.613829,0.243009,1.962081,0.107894,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14439650.000000,-0.258957,0.525399,0.336325,-1.429460,-0.177214,1.925364,0.096746,-0.000040,-0.000610,0.000107,-0.001450,0.000755,-0.000134,0.000851,-0.017047,-38.830524,4.647629,19.685240,0.219205,1.962081,0.048385,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14439651.000000,-0.258975,0.525411,0.336325,-1.429453,-0.177213,1.925368,0.096742,-0.020433,0.012687,-0.012103,-0.001866,-0.006716,0.001098,0.007820,-0.489153,-38.314777,3.957321,19.316282,0.159696,1.930038,0.107894,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14439652.000000,-0.259002,0.525405,0.336310,-1.429460,-0.177200,1.925368,0.096762,-0.041263,0.020180,-0.031041,-0.008439,-0.000945,0.002902,0.015454,-2.619586,-36.160542,1.874496,18.376036,-0.211093,1.871444,0.107894,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14439653.000000,-0.259019,0.525432,0.336221,-1.429480,-0.177183,1.925368,0.096802,-0.033601,0.025422,-0.051603,-0.017648,0.004275,0.003630,0.025761,-6.380572,-33.054157,-0.874832,16.622496,-0.760409,1.825668,0.100570,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14439654.000000,-0.259075,0.525482,0.336093,-1.429498,-0.177227,1.925367,0.096856,-0.021986,0.028841,-0.064081,-0.015737,-0.010395,0.010133,0.037571,-9.649615,-29.574848,-3.524979,14.099302,-0.844637,1.871444,0.107894,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14439655.000000,-0.259148,0.525568,0.335950,-1.429564,-0.177306,1.925370,0.096927,-0.015555,0.032825,-0.070215,-0.028970,-0.034867,0.007190,0.051524,-11.728473,-26.539875,-5.464981,11.802244,-0.670687,2.007858,0.114303,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14439656.000000,-0.259227,0.525659,0.335822,-1.429658,-0.177420,1.925432,0.097012,-0.020976,0.042814,-0.069041,-0.045037,-0.068030,0.026724,0.062009,-12.422748,-23.873859,-6.448868,9.675779,-0.306307,1.702071,0.120712,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14439657.000000,-0.259294,0.525762,0.335720,-1.429767,-0.177548,1.925585,0.097091,-0.031579,0.056949,-0.068324,-0.061952,-0.090841,0.077070,0.065174,-12.172809,-21.743427,-6.544083,7.723876,0.022367,0.778304,0.232406,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14439658.000000,-0.259342,0.525879,0.335658,-1.429881,-0.177681,1.925785,0.097189,-0.036964,0.067886,-0.065612,-0.072167,-0.103646,0.125724,0.072776,-11.331744,-20.081135,-6.202896,5.942564,0.135892,-0.261735,0.232406,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14439659.000000,-0.259386,0.525974,0.335635,-1.429984,-0.177802,1.925961,0.097291,-0.043418,0.082330,-0.052834,-0.079117,-0.106869,0.146658,0.082871,-10.093951,-18.514057,-5.663345,4.264403,-0.060946,-0.671891,0.239730,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14439660.000000,-0.259402,0.526077,0.335627,-1.430095,-0.177922,1.926102,0.097403,-0.041669,0.087729,-0.039347,-0.083956,-0.107815,0.145208,0.094088,-9.006915,-17.117573,-4.925430,2.852049,-0.443636,-0.345963,0.147262,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14439661.000000,-0.259410,0.526167,0.335636,-1.430216,-0.178050,1.926255,0.097506,-0.036104,0.088317,-0.029826,-0.091203,-0.113887,0.141999,0.098285,-7.991290,-15.625874,-4.215286,1.765013,-0.724703,0.226241,0.153671,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14439662.000000,-0.259425,0.526227,0.335635,-1.430357,-0.178175,1.926452,0.097620,-0.033152,0.079543,-0.026182,-0.105309,-0.119077,0.157482,0.103709,-6.900286,-13.888203,-3.306778,1.221495,-0.999362,0.648299,0.107894,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14439663.000000,-0.259448,0.526250,0.335614,-1.430545,-0.178316,1.926717,0.097734,-0.034286,0.058945,-0.030142,-0.132319,-0.125432,0.183286,0.106365,-5.761675,-11.829182,-2.199906,1.471434,-1.083590,0.694076,0.094161,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
