# time_ms,q_0,q_1,q_2,q_3,q_4,q_5,q_6,dq_0,dq_1,dq_2,dq_3,dq_4,dq_5,dq_6,tau_J_0,tau_J_1,tau_J_2,tau_J_3,tau_J_4,tau_J_5,tau_J_6,O_dP_EE_c_0,O_dP_EE_c_1,O_dP_EE_c_2,O_dP_EE_c_3,O_dP_EE_c_4,O_dP_EE_c_5
14759104.000000,-2.415597,-1.662649,1.042757,-1.356106,1.795379,1.081439,-0.548334,-0.000807,0.000549,-0.000022,0.000691,-0.000105,-0.000224,-0.001115,-0.044818,41.384014,-20.782669,-5.721254,0.966276,1.318465,-0.142960,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14759105.000000,-2.415594,-1.662651,1.042756,-1.356107,1.795379,1.081442,-0.548332,0.000019,-0.000191,0.000542,-0.000096,-0.000070,0.000563,0.000002,-0.068621,41.407818,-20.806473,-5.697450,0.966276,1.299239,-0.163102,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14759106.000000,-2.415596,-1.662651,1.042754,-1.356102,1.795382,1.081439,-0.548330,0.000013,0.000429,-0.000845,0.001142,0.001038,-0.000337,0.000714,-0.068621,41.384014,-20.754898,-5.749025,0.936979,1.318465,-0.182328,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14759107.000000,-2.415592,-1.662657,1.042753,-1.356108,1.795378,1.081440,-0.548334,0.000565,-0.001477,-0.001120,-0.001002,-0.000834,0.000013,-0.000982,-0.092425,41.459393,-20.731094,-5.673646,0.978177,1.312057,-0.142960,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14759108.000000,-2.415589,-1.662655,1.042757,-1.356103,1.795378,1.081438,-0.548330,0.005810,-0.001830,0.000460,0.002498,0.000767,-0.001687,-0.001356,0.205121,41.360210,-20.782669,-5.673646,0.942472,1.357833,-0.235429,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14759109.000000,-2.415580,-1.662658,1.042761,-1.356105,1.795383,1.081434,-0.548350,0.012136,-0.003287,0.002850,0.002958,0.000026,0.001993,-0.012844,1.244550,41.165813,-20.754898,-5.451478,0.828947,1.519881,-0.254655,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14759110.000000,-2.415549,-1.662657,1.042771,-1.356098,1.795382,1.081433,-0.548392,0.022822,-0.003135,0.004301,0.003776,0.005391,-0.001612,-0.023588,2.779890,40.773052,-20.707291,-5.229311,0.673307,1.741439,-0.221696,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14759111.000000,-2.415505,-1.662661,1.042788,-1.356108,1.795372,1.081450,-0.548447,0.030349,-0.003973,0.009767,-0.003163,0.001460,0.004680,-0.032339,4.660383,40.404095,-20.707291,-4.808778,0.596403,1.865035,-0.274796,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14759112.000000,-2.415447,-1.662658,1.042809,-1.356114,1.795347,1.081499,-0.548533,0.034071,0.000783,0.015736,-0.004963,-0.005315,0.020848,-0.051653,6.616254,39.916119,-20.659683,-4.511232,0.620206,1.800033,-0.208878,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14759113.000000,-2.415361,-1.662655,1.042837,-1.356140,1.795312,1.081576,-0.548627,0.043431,0.003358,0.017528,-0.012101,-0.015430,0.042319,-0.065877,8.223004,39.451946,-20.631912,-4.090700,0.667814,1.578475,-0.254655,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14759114.000000,-2.415253,-1.662651,1.042872,-1.356181,1.795269,1.081663,-0.548747,0.059072,0.004313,0.024026,-0.026493,-0.026103,0.054645,-0.085436,9.611554,39.011578,-20.536697,-3.670168,0.673307,1.442062,-0.281205,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14759115.000000,-2.415138,-1.662646,1.042919,-1.356227,1.795204,1.081766,-0.548900,0.074785,0.008196,0.035469,-0.034057,-0.040833,0.074539,-0.108492,10.825543,38.571209,-20.461319,-3.376589,0.733732,1.396285,-0.215287,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14759116.000000,-2.415005,-1.662644,1.042977,-1.356292,1.795128,1.081890,-0.549063,0.089474,0.005625,0.045651,-0.047418,-0.053689,0.092733,-0.124829,11.888776,38.226055,-20.437515,-3.027467,0.721830,1.402694,-0.281205,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14759117.000000,-2.414873,-1.662632,1.043047,-1.356356,1.795047,1.082036,-0.549256,0.103841,0.008649,0.052242,-0.053332,-0.063484,0.111377,-0.147607,12.928205,37.809490,-20.389908,-2.856874,0.584501,1.500655,-0.261979,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14759118.000000,-2.414716,-1.662617,1.043131,-1.356438,1.794942,1.082208,-0.549470,0.118810,0.010640,0.065081,-0.064836,-0.077452,0.129326,-0.168852,13.769269,37.392925,-20.413712,-2.658510,0.500272,1.605026,-0.261979,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14759119.000000,-2.414550,-1.662600,1.043238,-1.356532,1.794822,1.082407,-0.549719,0.134617,0.015269,0.081226,-0.074558,-0.091435,0.148406,-0.195372,14.511151,36.980328,-20.584305,-2.559328,0.369352,1.624252,-0.215287,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14759120.000000,-2.414364,-1.662578,1.043348,-1.356646,1.794670,1.082642,-0.549978,0.150482,0.018260,0.089444,-0.086428,-0.110273,0.172448,-0.218655,15.058637,36.587566,-20.608109,-2.412538,0.327238,1.611434,-0.254655,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14759121.000000,-2.414158,-1.662554,1.043479,-1.356782,1.794492,1.082896,-0.550271,0.169888,0.022201,0.103185,-0.100014,-0.136233,0.197830,-0.239984,15.502973,36.123394,-20.806473,-2.214174,0.362943,1.552840,-0.221696,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14759122.000000,-2.413936,-1.662531,1.043623,-1.356924,1.794287,1.083185,-0.550572,0.191356,0.023365,0.114538,-0.116064,-0.156523,0.223485,-0.262911,15.824323,35.730633,-20.929459,-2.162599,0.422452,1.500655,-0.196061,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14759123.000000,-2.413697,-1.662511,1.043779,-1.357094,1.794047,1.083501,-0.550875,0.207635,0.020157,0.129285,-0.132240,-0.181758,0.254945,-0.271865,16.046492,35.385479,-21.052444,-2.063417,0.524076,1.461288,-0.202470,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14759124.000000,-2.413447,-1.662491,1.043944,-1.357268,1.793798,1.083830,-0.551183,0.221500,0.019053,0.142848,-0.145023,-0.207376,0.279843,-0.284203,16.296431,35.119671,-21.123856,-2.091188,0.584501,1.481429,-0.175919,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14759125.000000,-2.413174,-1.662474,1.044119,-1.357457,1.793539,1.084186,-0.551487,0.241597,0.019504,0.153631,-0.158120,-0.220704,0.302542,-0.290894,16.391645,34.945110,-21.123856,-2.114992,0.571683,1.481429,-0.175919,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14759126.000000,-2.412886,-1.662460,1.044304,-1.357665,1.793259,1.084565,-0.551785,0.256543,0.015712,0.163673,-0.172432,-0.238816,0.330713,-0.291134,16.467024,34.826092,-21.175430,-2.091188,0.530485,1.584884,-0.215287,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14759127.000000,-2.412578,-1.662447,1.044499,-1.357899,1.792966,1.084956,-0.552099,0.275444,0.012739,0.171435,-0.191223,-0.260973,0.344269,-0.299174,16.467024,34.726910,-21.123856,-1.992006,0.446256,1.689254,-0.136552,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14759128.000000,-2.412258,-1.662443,1.044704,-1.358145,1.792652,1.085376,-0.552387,0.292805,0.008450,0.180830,-0.204797,-0.277833,0.369067,-0.292316,16.443220,34.726910,-21.052444,-1.892824,0.374845,1.760665,-0.215287,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14759129.000000,-2.411918,-1.662439,1.044915,-1.358410,1.792322,1.085826,-0.552684,0.303352,0.005602,0.191930,-0.227960,-0.297236,0.396751,-0.290002,16.419416,34.726910,-21.000870,-1.718263,0.344633,1.727706,-0.215287,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14759130.000000,-2.411570,-1.662436,1.045140,-1.358694,1.791977,1.086309,-0.552983,0.317499,0.003711,0.203211,-0.248613,-0.312545,0.416684,-0.295437,16.367842,34.726910,-20.953262,-1.595277,0.344633,1.624252,-0.136552,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14759131.000000,-2.411200,-1.662432,1.045377,-1.358995,1.791606,1.086809,-0.553256,0.334120,0.003570,0.214740,-0.264302,-0.328070,0.449490,-0.285447,16.320234,34.679302,-20.905655,-1.448488,0.351041,1.552840,-0.196061,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14759132.000000,-2.410831,-1.662429,1.045623,-1.359292,1.791226,1.087324,-0.553536,0.340000,0.002367,0.223622,-0.273069,-0.346297,0.468684,-0.288239,16.542402,34.679302,-20.806473,-1.448488,0.381254,1.532699,-0.182328,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14759133.000000,-2.410448,-1.662433,1.045874,-1.359614,1.790824,1.087865,-0.553805,0.354085,-0.000103,0.228264,-0.286399,-0.367404,0.486433,-0.282319,16.641584,34.750713,-20.683487,-1.420717,0.488370,1.513473,-0.202470,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14759134.000000,-2.410049,-1.662431,1.046136,-1.359946,1.790406,1.088422,-0.554073,0.362835,0.003649,0.239730,-0.297794,-0.377416,0.505492,-0.275680,16.788374,34.726910,-20.608109,-1.496095,0.458158,1.532699,-0.188737,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14759135.000000,-2.409644,-1.662431,1.046408,-1.360300,1.789978,1.088995,-0.554340,0.383258,0.002134,0.249995,-0.316317,-0.386765,0.516200,-0.271849,16.939131,34.750713,-20.512894,-1.420717,0.464567,1.532699,-0.196061,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14759136.000000,-2.409222,-1.662430,1.046687,-1.360666,1.789535,1.089598,-0.554603,0.395006,0.001617,0.263578,-0.329122,-0.405326,0.546745,-0.270670,17.109724,34.750713,-20.461319,-1.349306,0.434354,1.507064,-0.188737,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14759137.000000,-2.408785,-1.662430,1.046984,-1.361040,1.789081,1.090209,-0.554873,0.404725,0.001223,0.277696,-0.346903,-0.426878,0.568274,-0.270873,17.359663,34.750713,-20.413712,-1.226320,0.393156,1.435653,-0.155778,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14759138.000000,-2.408343,-1.662424,1.047286,-1.361442,1.788610,1.090852,-0.555131,0.419138,0.005085,0.282612,-0.362426,-0.437473,0.581655,-0.266452,17.581831,34.703106,-20.314529,-1.000185,0.374845,1.370651,-0.182328,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14759139.000000,-2.407878,-1.662423,1.047589,-1.361866,1.788118,1.091489,-0.555392,0.432086,0.003726,0.290082,-0.381840,-0.453807,0.601475,-0.262493,17.803999,34.703106,-20.215347,-0.706606,0.339139,1.364242,-0.169511,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14759140.000000,-2.407403,-1.662418,1.047910,-1.362295,1.787613,1.092162,-0.555647,0.444260,0.003942,0.298668,-0.394447,-0.469529,0.619444,-0.260751,18.125349,34.651531,-20.191544,-0.484438,0.374845,1.331283,-0.182328,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14759141.000000,-2.406922,-1.662410,1.048229,-1.362737,1.787090,1.092857,-0.555903,0.452744,0.004487,0.302004,-0.408010,-0.489213,0.651153,-0.255125,18.399092,34.580120,-20.143936,-0.309877,0.416959,1.312057,-0.196061,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14759142.000000,-2.406425,-1.662396,1.048572,-1.363187,1.786553,1.093561,-0.556162,0.462041,0.009662,0.318606,-0.421657,-0.509495,0.667297,-0.257083,18.720442,34.433331,-20.092361,-0.163088,0.410551,1.318465,-0.163102,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14759143.000000,-2.405917,-1.662391,1.048932,-1.363656,1.786006,1.094291,-0.556411,0.484894,0.007362,0.332709,-0.439407,-0.521847,0.683973,-0.252120,18.966413,34.409527,-20.143936,-0.087709,0.506681,1.344100,-0.182328,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14759144.000000,-2.405400,-1.662381,1.049296,-1.364138,1.785437,1.095040,-0.556653,0.491506,0.007501,0.338088,-0.450006,-0.531347,0.709192,-0.245565,19.339338,34.310345,-20.215347,-0.012331,0.506681,1.377059,-0.221696,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14759145.000000,-2.404858,-1.662371,1.049671,-1.364634,1.784864,1.095805,-0.556907,0.502351,0.007526,0.349151,-0.464957,-0.546164,0.723297,-0.251365,19.613081,34.211163,-20.239151,0.086851,0.559781,1.383468,-0.175919,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14759146.000000,-2.404317,-1.662359,1.050061,-1.365152,1.784269,1.096598,-0.557148,0.519084,0.010534,0.365841,-0.482372,-0.553567,0.743005,-0.246592,19.934431,34.115948,-20.290726,0.233641,0.530485,1.337692,-0.221696,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14759147.000000,-2.403753,-1.662353,1.050472,-1.365673,1.783668,1.097396,-0.557395,0.524111,0.007399,0.384541,-0.491856,-0.562677,0.759950,-0.249075,20.231977,34.115948,-20.512894,0.285216,0.464567,1.331283,-0.229020,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14759148.000000,-2.403189,-1.662341,1.050893,-1.366214,1.783052,1.098237,-0.557641,0.537893,0.006978,0.393840,-0.505979,-0.579746,0.774906,-0.243846,20.577131,34.040569,-20.631912,0.380431,0.393156,1.266280,-0.196061,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14759149.000000,-2.402598,-1.662323,1.051319,-1.366761,1.782425,1.099106,-0.557878,0.556323,0.011445,0.405745,-0.518743,-0.585756,0.817220,-0.240637,20.874678,33.893780,-20.782669,0.332823,0.308927,1.214095,-0.202470,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14759150.000000,-2.401988,-1.662308,1.051763,-1.367317,1.781780,1.099964,-0.558127,0.574700,0.012885,0.424046,-0.530994,-0.603897,0.827697,-0.248455,21.096846,33.822369,-20.953262,0.356627,0.291532,1.259872,-0.136552,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14759151.000000,-2.401378,-1.662292,1.052222,-1.367885,1.781109,1.100856,-0.558353,0.586785,0.015196,0.435714,-0.539619,-0.624104,0.836291,-0.239008,21.394392,33.699383,-21.100052,0.257445,0.327238,1.312057,-0.208878,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14759152.000000,-2.400748,-1.662276,1.052688,-1.368472,1.780409,1.101763,-0.558593,0.595051,0.015756,0.447047,-0.551471,-0.645065,0.861188,-0.240990,21.668135,33.624004,-21.270645,0.209837,0.405057,1.253463,-0.188737,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
