# time_ms,q_0,q_1,q_2,q_3,q_4,q_5,q_6,dq_0,dq_1,dq_2,dq_3,dq_4,dq_5,dq_6,tau_J_0,tau_J_1,tau_J_2,tau_J_3,tau_J_4,tau_J_5,tau_J_6,O_dP_EE_c_0,O_dP_EE_c_1,O_dP_EE_c_2,O_dP_EE_c_3,O_dP_EE_c_4,O_dP_EE_c_5
15250335.000000,2.312547,-0.964381,-1.819379,-1.386090,-0.926917,1.664956,0.447249,0.000144,0.000180,-0.000377,-0.000772,0.000147,0.000202,-0.000144,0.403486,34.873699,19.374191,12.222776,0.255826,2.085677,0.061202,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15250336.000000,2.312549,-0.964380,-1.819378,-1.386085,-0.926917,1.664952,0.447256,0.000745,0.000677,0.000399,0.001248,0.000098,-0.000340,0.001125,0.375715,34.849895,19.346420,12.147398,0.255826,2.098495,0.028243,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15250337.000000,2.312545,-0.964385,-1.819379,-1.386085,-0.926917,1.664955,0.447249,-0.000709,-0.001219,-0.000384,0.000832,0.000065,-0.000227,-0.000980,0.427289,34.921307,19.374191,12.147398,0.255826,2.098495,0.074935,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15250338.000000,2.312545,-0.964383,-1.819379,-1.386087,-0.926917,1.664953,0.447253,-0.000473,-0.000256,-0.000256,-0.000002,0.000044,0.000086,0.001076,0.427289,34.897503,19.374191,12.171202,0.255826,2.092086,0.028243,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15250339.000000,2.312534,-0.964385,-1.819379,-1.386087,-0.926919,1.664951,0.447248,-0.014922,-0.007609,-0.008302,-0.000651,-0.001014,-0.008825,0.002216,-0.017047,34.409527,18.783066,12.198973,0.154203,2.072860,0.127120,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15250340.000000,2.312516,-0.964355,-1.819397,-1.386090,-0.926903,1.664956,0.447272,-0.031589,-0.009790,-0.027212,-0.003868,-0.000230,-0.003564,0.009099,-1.873736,32.108501,16.942245,12.345762,-0.252291,1.988631,0.074935,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15250341.000000,2.312507,-0.964296,-1.819464,-1.386089,-0.926900,1.664952,0.447312,-0.031409,0.009713,-0.049331,-0.000522,-0.001062,-0.001517,0.023041,-5.341143,28.069805,14.192917,12.393370,-0.772311,1.949264,0.061202,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15250342.000000,2.312476,-0.964275,-1.819579,-1.386075,-0.926938,1.664950,0.447363,-0.022748,0.021435,-0.061655,0.003350,-0.015990,-0.003394,0.030772,-9.399676,23.785137,10.856430,12.246580,-1.053378,2.001449,0.120712,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15250343.000000,2.312399,-0.964320,-1.819721,-1.386062,-0.927030,1.664951,0.447440,-0.029279,0.008166,-0.075267,0.001298,-0.042065,-0.002256,0.044203,-13.089252,20.210613,7.369186,12.024412,-0.951754,2.118636,0.114303,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15250344.000000,2.312305,-0.964415,-1.819884,-1.386067,-0.927150,1.664992,0.447531,-0.036883,-0.014778,-0.091131,-0.002980,-0.070959,0.008882,0.062984,-16.528887,17.370037,4.179489,11.901426,-0.688998,1.968490,0.160079,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15250345.000000,2.312186,-0.964544,-1.820041,-1.386073,-0.927293,1.665096,0.447654,-0.054691,-0.046306,-0.099924,-0.004501,-0.098348,0.043235,0.086955,-19.401201,15.314983,1.184189,11.703062,-0.365817,1.357833,0.114303,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15250346.000000,2.312069,-0.964703,-1.820202,-1.386090,-0.927452,1.665259,0.447790,-0.068628,-0.080933,-0.113635,-0.007620,-0.117423,0.085486,0.103676,-22.051348,13.918499,-1.243790,11.580076,-0.174471,0.492660,0.193038,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15250347.000000,2.311947,-0.964874,-1.820339,-1.386116,-0.927610,1.665432,0.447956,-0.082173,-0.105940,-0.112117,-0.016140,-0.130717,0.115476,0.125899,-24.427752,12.890972,-3.600357,11.457090,-0.264193,-0.112504,0.173812,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15250348.000000,2.311816,-0.965041,-1.820467,-1.386134,-0.927770,1.665599,0.448155,-0.099802,-0.122015,-0.112058,-0.017231,-0.141409,0.134575,0.149346,-26.482805,12.085613,-5.611771,11.107969,-0.479342,-0.268143,0.107894,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15250349.000000,2.311683,-0.965200,-1.820598,-1.386165,-0.927933,1.665770,0.448361,-0.100660,-0.134001,-0.110579,-0.024565,-0.148101,0.147780,0.161327,-28.018145,11.375469,-6.964615,10.616026,-0.743014,-0.092362,0.180221,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
