# time_ms,q_0,q_1,q_2,q_3,q_4,q_5,q_6,dq_0,dq_1,dq_2,dq_3,dq_4,dq_5,dq_6,tau_J_0,tau_J_1,tau_J_2,tau_J_3,tau_J_4,tau_J_5,tau_J_6,O_dP_EE_c_0,O_dP_EE_c_1,O_dP_EE_c_2,O_dP_EE_c_3,O_dP_EE_c_4,O_dP_EE_c_5
14908002.000000,-2.418266,-1.662639,1.039334,-1.352543,1.798393,1.078685,-0.546134,-0.000221,0.000756,0.001101,-0.001667,-0.000331,0.000218,-0.000279,-0.017047,41.483196,-20.830276,-5.697450,0.972684,1.305648,-0.182328,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14908003.000000,-2.418264,-1.662638,1.039332,-1.352537,1.798395,1.078685,-0.546131,0.000502,0.000504,0.000177,0.000652,0.000457,0.000383,0.001035,-0.044818,41.483196,-20.806473,-5.772829,0.954374,1.299239,-0.215287,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14908004.000000,-2.418266,-1.662639,1.039332,-1.352539,1.798393,1.078688,-0.546134,-0.000315,-0.000221,0.000118,-0.000122,-0.000373,0.000018,-0.000531,-0.017047,41.507000,-20.806473,-5.749025,0.972684,1.305648,-0.182328,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14908005.000000,-2.418264,-1.662637,1.039334,-1.352537,1.798395,1.078684,-0.546133,0.000440,0.000410,0.000636,0.000475,0.000192,-0.000463,0.000155,-0.044818,41.483196,-20.830276,-5.772829,0.960782,1.318465,-0.196061,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14908006.000000,-2.418262,-1.662642,1.039334,-1.352540,1.798395,1.078683,-0.546136,0.006555,-0.002458,0.000424,0.001021,0.001247,-0.001495,-0.003620,0.276533,41.459393,-20.830276,-5.673646,0.930570,1.350509,-0.221696,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14908007.000000,-2.418254,-1.662640,1.039335,-1.352536,1.798393,1.078680,-0.546152,0.016923,-0.001911,0.001803,0.003799,0.003917,0.001660,-0.006568,1.268354,41.189617,-20.754898,-5.526857,0.847257,1.532699,-0.248246,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14908008.000000,-2.418225,-1.662645,1.039348,-1.352534,1.798396,1.078680,-0.546190,0.024362,-0.004191,0.004968,0.003731,0.000013,0.003411,-0.014347,2.803693,40.872234,-20.754898,-5.276918,0.673307,1.747848,-0.248246,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14908009.000000,-2.418175,-1.662648,1.039358,-1.352542,1.798384,1.078700,-0.546250,0.027899,-0.000583,0.007731,-0.002489,-0.003604,0.009347,-0.035164,4.660383,40.455669,-20.631912,-4.884157,0.625699,1.851302,-0.221696,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14908010.000000,-2.418119,-1.662645,1.039380,-1.352552,1.798361,1.078749,-0.546321,0.034594,0.000050,0.008900,-0.005599,-0.008181,0.024536,-0.051738,6.592451,39.963726,-20.608109,-4.535036,0.632108,1.786300,-0.274796,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14908011.000000,-2.418020,-1.662644,1.039412,-1.352573,1.798330,1.078826,-0.546424,0.046872,-0.001103,0.016700,-0.017611,-0.016024,0.044735,-0.068670,8.100019,39.523357,-20.584305,-4.166078,0.644010,1.591293,-0.235429,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
