# time_ms,q_0,q_1,q_2,q_3,q_4,q_5,q_6,dq_0,dq_1,dq_2,dq_3,dq_4,dq_5,dq_6,tau_J_0,tau_J_1,tau_J_2,tau_J_3,tau_J_4,tau_J_5,tau_J_6,O_dP_EE_c_0,O_dP_EE_c_1,O_dP_EE_c_2,O_dP_EE_c_3,O_dP_EE_c_4,O_dP_EE_c_5
12387648.000000,-0.344673,0.544248,0.451052,-1.426791,-0.242489,1.916518,0.131700,0.001192,-0.001030,-0.000233,0.001121,0.000277,-0.000279,-0.000684,0.054365,-38.362385,5.996506,19.268675,0.823453,1.344100,-0.110001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12387649.000000,-0.344675,0.544250,0.451052,-1.426796,-0.242489,1.916522,0.131705,0.000238,-0.000037,-0.000155,-0.000923,0.000185,0.000289,0.001240,0.078168,-38.390156,5.996506,19.340086,0.823453,1.331283,-0.155778,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12387650.000000,-0.344675,0.544252,0.451054,-1.426793,-0.242490,1.916522,0.131704,0.000158,0.000532,0.000453,0.000498,-0.000080,-0.000045,0.000589,0.078168,-38.413960,5.972702,19.292479,0.828947,1.337692,-0.149369,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12387651.000000,-0.344677,0.544250,0.451052,-1.426793,-0.242489,1.916521,0.131703,-0.000544,-0.000202,-0.000255,0.000332,0.000150,-0.000267,0.000155,0.105939,-38.390156,5.996506,19.292479,0.823453,1.344100,-0.142960,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12387652.000000,-0.344696,0.544251,0.451053,-1.426796,-0.242486,1.916521,0.131709,-0.016024,0.011259,-0.010904,-0.007239,-0.001503,0.000771,-0.000134,-0.290789,-37.802998,5.381577,19.070311,0.739225,1.318465,-0.136552,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12387653.000000,-0.344713,0.544244,0.451036,-1.426807,-0.242470,1.916516,0.131718,-0.023149,0.016588,-0.020923,-0.015049,0.001554,-0.003452,0.002678,-1.726946,-35.696369,3.862106,18.130064,0.405057,1.299239,-0.083451,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12387654.000000,-0.344720,0.544253,0.450965,-1.426820,-0.242462,1.916511,0.131751,-0.012502,0.013970,-0.035320,-0.022587,0.004235,-0.002454,0.007633,-3.956561,-32.466999,2.116501,16.277342,0.034269,1.292831,-0.103593,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12387655.000000,-0.344735,0.544294,0.450871,-1.426848,-0.242507,1.916507,0.131786,-0.003914,0.017249,-0.049321,-0.023278,-0.014619,-0.003590,0.015011,-6.083025,-28.987690,0.156662,13.777952,0.081876,1.337692,-0.097184,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12387656.000000,-0.344760,0.544363,0.450753,-1.426912,-0.242553,1.916511,0.131817,-0.002684,0.019004,-0.058700,-0.031041,-0.026434,0.000146,0.019771,-7.669940,-25.758320,-1.537369,11.334105,0.093778,1.389877,-0.070634,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12387657.000000,-0.344791,0.544463,0.450635,-1.426993,-0.242609,1.916567,0.131862,-0.003008,0.034121,-0.064443,-0.040422,-0.034519,0.020765,0.025776,-8.534808,-23.139912,-2.767227,9.084654,0.088285,1.090499,-0.110001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12387658.000000,-0.344816,0.544583,0.450526,-1.427075,-0.242711,1.916704,0.131893,-0.003382,0.053903,-0.066282,-0.043672,-0.055643,0.060210,0.029497,-8.808551,-21.156269,-3.405960,6.906615,0.369352,0.245467,-0.011124,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12387659.000000,-0.344829,0.544704,0.450428,-1.427176,-0.242799,1.916866,0.131939,-0.003971,0.067041,-0.072098,-0.055212,-0.068275,0.099505,0.031837,-8.582416,-19.565388,-3.405960,5.077696,0.464567,-0.540971,-0.011124,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12387660.000000,-0.344853,0.544809,0.450372,-1.427275,-0.242885,1.917016,0.131988,-0.010772,0.077600,-0.067646,-0.064656,-0.072995,0.123076,0.038635,-7.717547,-18.192707,-3.282974,3.570128,0.434354,-0.833939,-0.023942,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12387661.000000,-0.344867,0.544904,0.450336,-1.427389,-0.242973,1.917154,0.132034,-0.016075,0.077766,-0.054709,-0.075746,-0.074925,0.131559,0.042749,-6.725726,-16.823994,-2.961624,2.558470,0.351041,-0.632523,-0.011124,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12387662.000000,-0.344861,0.544988,0.450305,-1.427504,-0.243055,1.917316,0.132097,-0.014258,0.080310,-0.049651,-0.088837,-0.073879,0.136814,0.047857,-5.884661,-15.451313,-2.374466,1.792784,0.189908,-0.313920,-0.064225,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12387663.000000,-0.344857,0.545049,0.450277,-1.427649,-0.243119,1.917514,0.132160,-0.010301,0.074870,-0.050501,-0.108837,-0.068504,0.153857,0.055402,-4.995989,-13.935810,-1.660355,1.542845,-0.103060,-0.060319,-0.083451,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12387664.000000,-0.344867,0.545083,0.450264,-1.427834,-0.243184,1.917743,0.132226,-0.013483,0.062130,-0.042159,-0.132945,-0.066739,0.175866,0.061522,-3.928790,-12.198139,-1.144608,1.887999,-0.360323,0.102645,-0.116410,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12387665.000000,-0.344874,0.545106,0.450225,-1.428030,-0.243267,1.918000,0.132291,-0.013800,0.050048,-0.044771,-0.156214,-0.068831,0.199456,0.063519,-3.040118,-10.460468,-0.359085,2.435484,-0.407931,0.323287,-0.089860,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12387666.000000,-0.344888,0.545145,0.450174,-1.428243,-0.243375,1.918274,0.132362,-0.017079,0.044291,-0.050139,-0.178676,-0.079744,0.218389,0.067449,-2.147479,-8.992573,0.474045,3.026610,-0.192782,0.538436,-0.116410,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12387667.000000,-0.344925,0.545206,0.450134,-1.428453,-0.243491,1.918566,0.132424,-0.027145,0.049316,-0.049216,-0.192309,-0.094062,0.240275,0.065379,-1.060443,-7.937275,0.989792,3.399534,0.088285,0.668441,-0.011124,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12387668.000000,-0.344972,0.545283,0.450085,-1.428685,-0.243596,1.918885,0.132504,-0.033646,0.059486,-0.048165,-0.207756,-0.101876,0.263307,0.069813,0.006757,-7.203327,1.481735,3.744688,0.195402,0.733443,-0.056901,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
