# time_ms,q_0,q_1,q_2,q_3,q_4,q_5,q_6,dq_0,dq_1,dq_2,dq_3,dq_4,dq_5,dq_6,tau_J_0,tau_J_1,tau_J_2,tau_J_3,tau_J_4,tau_J_5,tau_J_6,O_dP_EE_c_0,O_dP_EE_c_1,O_dP_EE_c_2,O_dP_EE_c_3,O_dP_EE_c_4,O_dP_EE_c_5
12869790.000000,-2.415659,-1.662599,1.042887,-1.356084,1.795469,1.081426,-0.548611,0.000979,0.000929,-0.000208,-0.000058,-0.000001,0.000138,-0.001432,0.006757,41.530804,-21.052444,-5.721254,0.805143,1.312057,0.061202,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12869791.000000,-2.415663,-1.662599,1.042889,-1.356085,1.795469,1.081424,-0.548608,-0.000461,0.000619,0.000418,-0.000039,-0.000001,-0.000383,0.000029,0.054365,41.530804,-21.076248,-5.721254,0.805143,1.324874,0.034652,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12869792.000000,-2.415664,-1.662599,1.042891,-1.356083,1.795468,1.081425,-0.548610,-0.000864,0.000413,0.000836,0.000624,-0.000238,-0.000018,-0.000727,0.078168,41.530804,-21.100052,-5.749025,0.811552,1.318465,0.054794,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12869793.000000,-2.415661,-1.662599,1.042887,-1.356083,1.795469,1.081424,-0.548610,0.000537,0.000832,-0.000557,-0.000234,0.000079,-0.000249,-0.000484,0.030561,41.507000,-21.052444,-5.721254,0.805143,1.324874,0.054794,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12869794.000000,-2.415658,-1.662602,1.042890,-1.356080,1.795468,1.081424,-0.548615,0.005870,-0.001965,-0.000371,-0.000713,-0.008645,0.008121,-0.009022,0.328107,41.483196,-21.052444,-5.697450,0.786832,1.357833,0.034652,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12869795.000000,-2.415649,-1.662607,1.042891,-1.356079,1.795467,1.081418,-0.548623,0.015448,-0.003198,0.001719,0.001753,-0.003018,0.004162,-0.009402,1.343732,41.284832,-21.000870,-5.526857,0.691617,1.539108,-0.023942,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12869796.000000,-2.415623,-1.662608,1.042903,-1.356077,1.795460,1.081417,-0.548648,0.020126,-0.002919,0.004549,0.001558,-0.004217,0.000264,-0.014964,2.950483,40.872234,-21.000870,-5.253114,0.608304,1.760665,-0.070634,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12869797.000000,-2.415576,-1.662609,1.042919,-1.356085,1.795442,1.081433,-0.548693,0.026796,-0.004629,0.011898,-0.004159,-0.012060,0.005885,-0.026609,4.807172,40.380291,-20.953262,-4.856386,0.584501,1.890670,-0.044083,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12869798.000000,-2.415515,-1.662605,1.042940,-1.356097,1.795412,1.081484,-0.548749,0.035262,-0.001157,0.016230,-0.006734,-0.019928,0.022865,-0.037525,6.739240,39.793133,-20.854080,-4.511232,0.613798,1.806442,-0.077042,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12869799.000000,-2.415430,-1.662606,1.042969,-1.356124,1.795370,1.081558,-0.548827,0.047647,0.001370,0.020331,-0.013352,-0.031863,0.040097,-0.053339,8.349957,39.328960,-20.782669,-4.090700,0.679716,1.584884,-0.037675,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12869800.000000,-2.415329,-1.662603,1.043011,-1.356163,1.795320,1.081657,-0.548916,0.063014,0.004369,0.027745,-0.023583,-0.038875,0.060298,-0.065269,9.833722,38.813213,-20.754898,-3.697939,0.709928,1.389877,-0.116410,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12869801.000000,-2.415212,-1.662600,1.043055,-1.356212,1.795252,1.081761,-0.549042,0.082835,0.004879,0.034512,-0.032123,-0.048436,0.075416,-0.084515,11.047711,38.372845,-20.659683,-3.400392,0.727323,1.318465,-0.056901,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12869802.000000,-2.415074,-1.662597,1.043108,-1.356277,1.795172,1.081887,-0.549177,0.098148,0.003798,0.040008,-0.042953,-0.057672,0.097868,-0.099818,12.011762,37.984051,-20.560501,-3.055238,0.673307,1.331283,-0.089860,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12869803.000000,-2.414934,-1.662588,1.043174,-1.356345,1.795079,1.082038,-0.549343,0.107717,0.006501,0.049627,-0.050712,-0.068389,0.115712,-0.121075,13.003583,37.591290,-20.437515,-2.856874,0.584501,1.448470,-0.103593,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12869804.000000,-2.414784,-1.662575,1.043260,-1.356426,1.794968,1.082211,-0.549540,0.123514,0.008829,0.061030,-0.062791,-0.085240,0.129648,-0.149812,13.892255,37.174725,-20.485123,-2.658510,0.476469,1.565658,-0.044083,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12869805.000000,-2.414617,-1.662562,1.043359,-1.356523,1.794838,1.082416,-0.549755,0.138651,0.009538,0.076204,-0.074834,-0.097416,0.152822,-0.166122,14.610333,36.805767,-20.560501,-2.483949,0.356534,1.597701,-0.116410,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12869806.000000,-2.414431,-1.662544,1.043475,-1.356634,1.794682,1.082652,-0.550012,0.156255,0.013351,0.088981,-0.085387,-0.115031,0.185150,-0.197803,15.181623,36.440777,-20.707291,-2.384767,0.320829,1.572067,-0.056901,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12869807.000000,-2.414227,-1.662522,1.043604,-1.356767,1.794498,1.082917,-0.550281,0.174347,0.017486,0.101254,-0.097643,-0.135109,0.212768,-0.218089,15.625958,36.024212,-20.854080,-2.237978,0.351041,1.494247,-0.083451,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12869808.000000,-2.414000,-1.662505,1.043746,-1.356918,1.794282,1.083212,-0.550563,0.189816,0.015579,0.113247,-0.116372,-0.165836,0.237560,-0.234110,15.947309,35.683025,-20.977066,-2.091188,0.428861,1.416427,-0.116410,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12869809.000000,-2.413763,-1.662485,1.043901,-1.357085,1.794044,1.083528,-0.550855,0.210142,0.014362,0.124749,-0.131685,-0.194562,0.259111,-0.259727,16.169477,35.337872,-21.100052,-2.015810,0.535978,1.389877,-0.097184,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12869810.000000,-2.413505,-1.662462,1.044060,-1.357260,1.793790,1.083861,-0.551156,0.224212,0.016046,0.134832,-0.149171,-0.212956,0.281934,-0.270976,16.344038,35.020489,-21.123856,-2.063417,0.589994,1.429244,-0.070634,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12869811.000000,-2.413234,-1.662449,1.044234,-1.357453,1.793533,1.084215,-0.551460,0.236888,0.013416,0.145399,-0.162376,-0.231951,0.310039,-0.278519,16.467024,34.873699,-21.147659,-2.039613,0.554288,1.448470,-0.064225,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12869812.000000,-2.412954,-1.662434,1.044418,-1.357661,1.793256,1.084590,-0.551748,0.254590,0.015613,0.156576,-0.177647,-0.242444,0.337288,-0.277586,16.617781,34.703106,-21.175430,-2.039613,0.500272,1.552840,-0.116410,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12869813.000000,-2.412648,-1.662427,1.044614,-1.357886,1.792959,1.084982,-0.552056,0.271989,0.013418,0.166991,-0.193267,-0.257009,0.351510,-0.285241,16.689192,34.703106,-21.147659,-2.015810,0.374845,1.689254,-0.064225,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12869814.000000,-2.412321,-1.662418,1.044817,-1.358142,1.792653,1.085396,-0.552353,0.293739,0.012755,0.177171,-0.211580,-0.275184,0.362051,-0.287714,16.617781,34.679302,-21.100052,-1.817445,0.297025,1.741439,-0.110001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12869815.000000,-2.411984,-1.662412,1.045029,-1.358410,1.792322,1.085855,-0.552647,0.303973,0.009531,0.188477,-0.227543,-0.290641,0.387568,-0.286092,16.566206,34.651531,-21.052444,-1.670656,0.285123,1.689254,-0.122819,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12869816.000000,-2.411625,-1.662410,1.045252,-1.358694,1.791975,1.086340,-0.552948,0.318999,0.005989,0.202115,-0.245858,-0.314077,0.412664,-0.287309,16.467024,34.679302,-20.929459,-1.519899,0.315336,1.591293,-0.056901,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
