# time_ms,q_0,q_1,q_2,q_3,q_4,q_5,q_6,dq_0,dq_1,dq_2,dq_3,dq_4,dq_5,dq_6,tau_J_0,tau_J_1,tau_J_2,tau_J_3,tau_J_4,tau_J_5,tau_J_6,O_dP_EE_c_0,O_dP_EE_c_1,O_dP_EE_c_2,O_dP_EE_c_3,O_dP_EE_c_4,O_dP_EE_c_5
11963253.000000,2.313467,-0.961773,-1.822710,-1.385853,-0.923959,1.666948,0.446169,0.000257,-0.000484,-0.000039,0.000570,0.000022,0.000194,-0.000079,0.228925,35.508465,19.568588,12.123594,1.020292,1.383468,-0.142960,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11963254.000000,2.313465,-0.961775,-1.822712,-1.385860,-0.923957,1.666946,0.446172,-0.000385,-0.001002,-0.000583,-0.002497,0.000456,-0.000346,0.000693,0.252729,35.536236,19.592392,12.246580,1.008390,1.396285,-0.163102,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11963255.000000,2.313468,-0.961773,-1.822709,-1.385858,-0.923959,1.666947,0.446172,0.000857,-0.000041,0.000725,-0.000551,-0.000374,0.000007,0.000462,0.205121,35.508465,19.544785,12.198973,1.026700,1.389877,-0.163102,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11963256.000000,2.313461,-0.961774,-1.822707,-1.385855,-0.923959,1.666947,0.446171,-0.001099,0.000513,0.001040,0.000839,-0.000250,-0.000233,0.000037,0.276533,35.484661,19.520981,12.147398,1.026700,1.396285,-0.155778,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11963257.000000,2.313448,-0.961778,-1.822711,-1.385856,-0.923957,1.666946,0.446172,-0.016081,-0.007726,-0.009029,-0.000647,-0.010519,0.000557,-0.000688,-0.144000,35.020489,19.005234,12.198973,0.925077,1.377059,-0.136552,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11963258.000000,2.313434,-0.961740,-1.822722,-1.385855,-0.923943,1.666945,0.446187,-0.029502,-0.006562,-0.023963,-0.001545,-0.004439,-0.002368,0.003851,-1.972918,32.719463,17.140610,12.246580,0.571683,1.312057,-0.122819,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11963259.000000,2.313426,-0.961698,-1.822790,-1.385853,-0.923924,1.666928,0.446214,-0.029429,0.004536,-0.044914,-0.001587,0.002309,-0.009939,0.010701,-5.515704,28.875164,14.339706,12.270384,0.004056,1.389877,-0.077042,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11963260.000000,2.313379,-0.961689,-1.822903,-1.385838,-0.923936,1.666911,0.446255,-0.028941,0.010898,-0.061596,0.004139,0.001126,-0.010997,0.021938,-9.399676,24.713482,11.027023,12.048216,-0.306307,1.487838,-0.070634,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11963261.000000,2.313308,-0.961745,-1.823033,-1.385833,-0.924000,1.666916,0.446313,-0.032536,-0.000711,-0.075730,0.004346,-0.015624,-0.007651,0.035109,-13.164630,21.214336,7.468369,11.849852,-0.187289,1.481429,-0.064225,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11963262.000000,2.313212,-0.961841,-1.823202,-1.385842,-0.924078,1.666964,0.446378,-0.038133,-0.021290,-0.093838,-0.000803,-0.033784,0.010039,0.047585,-16.481279,18.302349,4.377853,11.726866,-0.013339,1.201278,-0.011124,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
