# time_ms,q_0,q_1,q_2,q_3,q_4,q_5,q_6,dq_0,dq_1,dq_2,dq_3,dq_4,dq_5,dq_6,tau_J_0,tau_J_1,tau_J_2,tau_J_3,tau_J_4,tau_J_5,tau_J_6,O_dP_EE_c_0,O_dP_EE_c_1,O_dP_EE_c_2,O_dP_EE_c_3,O_dP_EE_c_4,O_dP_EE_c_5
11796827.000000,-2.418267,-1.662602,1.039417,-1.352483,1.798444,1.078659,-0.546415,-0.000374,0.000672,-0.001178,0.000788,-0.000216,0.000045,0.001154,-0.044818,41.578411,-20.877884,-5.820436,0.876554,1.364242,0.009017,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11796828.000000,-2.418267,-1.662608,1.039421,-1.352483,1.798447,1.078658,-0.546416,-0.000249,-0.000758,0.000421,0.000525,0.000060,-0.000208,0.000295,-0.044818,41.629986,-20.929459,-5.820436,0.871061,1.370651,0.021835,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11796829.000000,-2.418267,-1.662608,1.039421,-1.352484,1.798448,1.078659,-0.546417,-0.000166,-0.001062,0.000281,-0.000207,0.000277,0.000099,-0.000041,-0.044818,41.653790,-20.929459,-5.796632,0.864652,1.364242,0.028243,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11796830.000000,-2.418265,-1.662602,1.039417,-1.352479,1.798446,1.078660,-0.546417,0.000446,0.001055,-0.001019,0.001625,0.000626,0.000574,-0.000027,-0.068621,41.578411,-20.877884,-5.872011,0.852750,1.350509,0.028243,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11796831.000000,-2.418262,-1.662607,1.039419,-1.352488,1.798445,1.078658,-0.546418,0.005299,-0.001516,-0.000679,-0.002443,0.000180,-0.001550,-0.008682,0.252729,41.554607,-20.877884,-5.721254,0.859159,1.402694,0.009017,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11796832.000000,-2.418252,-1.662611,1.039424,-1.352479,1.798446,1.078651,-0.546428,0.015301,-0.004815,0.002394,0.003172,-0.000778,-0.003094,-0.013799,1.268354,41.336407,-20.877884,-5.649843,0.757535,1.584884,-0.050492,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11796833.000000,-2.418218,-1.662610,1.039437,-1.352477,1.798442,1.078651,-0.546460,0.022529,-0.002394,0.007462,-0.000588,-0.001728,-0.000404,-0.020273,2.779890,40.896038,-20.877884,-5.376100,0.649503,1.806442,-0.044083,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11796834.000000,-2.418173,-1.662611,1.039452,-1.352481,1.798425,1.078675,-0.546506,0.027318,-0.002960,0.010056,-0.001567,-0.010047,0.002617,-0.029377,4.684186,40.404095,-20.830276,-5.030946,0.608304,1.884261,-0.044083,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11796835.000000,-2.418112,-1.662610,1.039473,-1.352496,1.798397,1.078725,-0.546560,0.034460,-0.000613,0.013850,-0.005509,-0.018052,0.015679,-0.040838,6.540876,39.892315,-20.731094,-4.661989,0.625699,1.793624,-0.064225,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11796836.000000,-2.418017,-1.662609,1.039501,-1.352528,1.798361,1.078810,-0.546636,0.045809,0.000743,0.019686,-0.013689,-0.024764,0.039688,-0.050236,8.076215,39.376568,-20.631912,-4.189882,0.667814,1.552840,-0.044083,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11796837.000000,-2.417919,-1.662609,1.039537,-1.352569,1.798309,1.078910,-0.546724,0.059399,-0.000173,0.027443,-0.025090,-0.033781,0.059466,-0.064621,9.512372,38.936199,-20.560501,-3.745546,0.698026,1.377059,-0.077042,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11796838.000000,-2.417809,-1.662603,1.039587,-1.352618,1.798240,1.079024,-0.546841,0.074365,0.001991,0.034957,-0.033710,-0.050425,0.079201,-0.082868,10.873151,38.495831,-20.560501,-3.424196,0.739225,1.305648,-0.044083,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11796839.000000,-2.417668,-1.662603,1.039647,-1.352681,1.798165,1.079161,-0.546976,0.095408,0.001205,0.042843,-0.043857,-0.063782,0.100787,-0.097687,11.813397,38.154644,-20.536697,-3.079042,0.679716,1.312057,-0.064225,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11796840.000000,-2.417532,-1.662593,1.039713,-1.352751,1.798074,1.079306,-0.547130,0.108059,0.001945,0.050477,-0.054263,-0.071484,0.117965,-0.110098,12.852826,37.761883,-20.461319,-2.880678,0.559781,1.429244,-0.089860,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11796841.000000,-2.417381,-1.662584,1.039796,-1.352833,1.797954,1.079483,-0.547299,0.122351,0.004211,0.059324,-0.063999,-0.086701,0.135664,-0.126598,13.769269,37.420696,-20.512894,-2.733888,0.494779,1.546432,-0.050492,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11796842.000000,-2.417209,-1.662568,1.039897,-1.352937,1.797817,1.079696,-0.547468,0.140513,0.007240,0.072597,-0.075810,-0.100735,0.164183,-0.135683,14.463544,37.027935,-20.631912,-2.559328,0.393156,1.611434,-0.089860,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11796843.000000,-2.417024,-1.662548,1.040009,-1.353052,1.797654,1.079935,-0.547657,0.154197,0.012373,0.085043,-0.088770,-0.114655,0.190421,-0.153036,15.030866,36.635174,-20.731094,-2.483949,0.410551,1.584884,-0.050492,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11796844.000000,-2.416821,-1.662530,1.040136,-1.353190,1.797468,1.080210,-0.547839,0.166103,0.012794,0.098086,-0.101774,-0.134254,0.212324,-0.156714,15.479169,36.270184,-20.877884,-2.285585,0.482877,1.487838,-0.064225,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11796845.000000,-2.416594,-1.662510,1.040278,-1.353342,1.797264,1.080497,-0.548021,0.189559,0.013172,0.113766,-0.115774,-0.153552,0.235932,-0.163301,15.701337,35.901226,-21.052444,-2.162599,0.518583,1.448470,-0.103593,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11796846.000000,-2.416358,-1.662494,1.040438,-1.353509,1.797037,1.080815,-0.548213,0.204661,0.014548,0.126232,-0.132996,-0.174828,0.261037,-0.172015,15.971112,35.607647,-21.246841,-2.039613,0.608304,1.454879,-0.050492,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11796847.000000,-2.416103,-1.662476,1.040602,-1.353692,1.796795,1.081155,-0.548396,0.219675,0.015183,0.137548,-0.149687,-0.200650,0.280534,-0.173433,16.197248,35.337872,-21.322220,-2.015810,0.584501,1.448470,-0.116410,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11796848.000000,-2.415839,-1.662461,1.040781,-1.353893,1.796529,1.081510,-0.548585,0.234715,0.013493,0.150386,-0.164235,-0.218756,0.308852,-0.176937,16.391645,35.167278,-21.417435,-2.039613,0.518583,1.454879,-0.103593,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11796849.000000,-2.415558,-1.662459,1.040966,-1.354111,1.796250,1.081880,-0.548784,0.248039,0.010872,0.161692,-0.184430,-0.233792,0.325794,-0.181603,16.590010,35.191082,-21.469009,-1.964235,0.482877,1.552840,-0.056901,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11796850.000000,-2.415253,-1.662450,1.041161,-1.354341,1.795970,1.082265,-0.548973,0.266105,0.008255,0.174272,-0.198856,-0.245259,0.343873,-0.181006,16.590010,35.143475,-21.469009,-1.916628,0.339139,1.670028,-0.116410,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11796851.000000,-2.414935,-1.662446,1.041359,-1.354601,1.795656,1.082679,-0.549166,0.284031,0.008323,0.183947,-0.218617,-0.270485,0.364543,-0.184312,16.641584,35.143475,-21.369827,-1.769838,0.356534,1.727706,-0.083451,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11796852.000000,-2.414604,-1.662448,1.041574,-1.354870,1.795318,1.083128,-0.549356,0.296995,0.004616,0.190103,-0.235627,-0.296349,0.388771,-0.186054,16.716963,35.191082,-21.322220,-1.642885,0.362943,1.682845,-0.064225,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11796853.000000,-2.414257,-1.662449,1.041794,-1.355161,1.794970,1.083594,-0.549544,0.316022,0.005008,0.198051,-0.248826,-0.307832,0.416671,-0.183462,16.740767,35.238689,-21.246841,-1.472292,0.381254,1.611434,-0.122819,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11796854.000000,-2.413893,-1.662449,1.042024,-1.355464,1.794609,1.084078,-0.549742,0.330530,0.004240,0.209004,-0.267595,-0.319427,0.435921,-0.191497,16.764570,35.214886,-21.147659,-1.349306,0.458158,1.559249,-0.070634,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11796855.000000,-2.413529,-1.662455,1.042273,-1.355776,1.794220,1.084583,-0.549925,0.348468,0.001322,0.217439,-0.279356,-0.346660,0.464577,-0.188432,16.939131,35.290264,-21.100052,-1.321535,0.464567,1.532699,-0.122819,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11796856.000000,-2.413147,-1.662453,1.042525,-1.356098,1.793811,1.085121,-0.550124,0.359702,0.001632,0.233088,-0.291348,-0.364817,0.486654,-0.193710,17.062117,35.266460,-20.977066,-1.297731,0.500272,1.474105,-0.050492,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11796857.000000,-2.412758,-1.662458,1.042782,-1.356428,1.793396,1.085677,-0.550299,0.367125,-0.000437,0.240686,-0.299886,-0.378249,0.504897,-0.189210,17.359663,35.337872,-20.877884,-1.297731,0.524076,1.481429,-0.136552,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11796858.000000,-2.412354,-1.662460,1.043059,-1.356778,1.792963,1.086236,-0.550478,0.378987,-0.000739,0.252410,-0.309992,-0.396916,0.521427,-0.190067,17.530256,35.361675,-20.905655,-1.250124,0.422452,1.578475,-0.142960,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11796859.000000,-2.411932,-1.662460,1.043338,-1.357141,1.792513,1.086830,-0.550655,0.390017,-0.000411,0.262958,-0.331315,-0.407674,0.543246,-0.186934,17.704817,35.361675,-20.877884,-1.226320,0.428861,1.624252,-0.097184,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11796860.000000,-2.411505,-1.662456,1.043631,-1.357516,1.792055,1.087442,-0.550826,0.403503,0.000901,0.271863,-0.343762,-0.431337,0.564737,-0.179566,18.002363,35.314068,-20.830276,-1.174745,0.386747,1.591293,-0.142960,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11796861.000000,-2.411060,-1.662455,1.043931,-1.357910,1.791565,1.088097,-0.551001,0.416468,0.001203,0.277581,-0.357525,-0.448156,0.591911,-0.179016,18.149153,35.290264,-20.683487,-1.051759,0.422452,1.494247,-0.097184,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11796862.000000,-2.410600,-1.662451,1.044244,-1.358319,1.791078,1.088772,-0.551167,0.427112,0.002043,0.288619,-0.373764,-0.460259,0.616209,-0.175833,18.375288,35.238689,-20.707291,-0.829591,0.464567,1.377059,-0.122819,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11796863.000000,-2.410137,-1.662441,1.044570,-1.358745,1.790561,1.089455,-0.551335,0.438546,0.004822,0.295110,-0.390213,-0.477851,0.640064,-0.174532,18.621260,35.091900,-20.683487,-0.655031,0.542386,1.266280,-0.122819,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11796864.000000,-2.409648,-1.662433,1.044896,-1.359187,1.790048,1.090155,-0.551507,0.448666,0.007241,0.311281,-0.406538,-0.490205,0.658889,-0.174885,18.522078,35.044292,-20.584305,-0.484438,0.667814,1.214095,-0.083451,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11796865.000000,-2.409155,-1.662418,1.045241,-1.359638,1.789524,1.090873,-0.551661,0.456303,0.009073,0.324531,-0.424271,-0.502464,0.675063,-0.165835,17.855574,34.873699,-20.266922,-0.508241,0.751127,1.285506,-0.155778,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11796866.000000,-2.408680,-1.662405,1.045615,-1.360104,1.788995,1.091590,-0.551821,0.457473,0.005647,0.340527,-0.439765,-0.510398,0.690889,-0.162934,16.665388,34.651531,-19.874161,-0.778017,0.805143,1.383468,-0.142960,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11796867.000000,-2.408197,-1.662389,1.046008,-1.360577,1.788481,1.092337,-0.551988,0.463144,0.009176,0.358708,-0.448759,-0.510275,0.702878,-0.165119,14.860272,34.286541,-19.382217,-1.226320,0.817045,1.448470,-0.130143,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11796868.000000,-2.407733,-1.662381,1.046420,-1.361066,1.787963,1.093098,-0.552149,0.466971,0.011475,0.372341,-0.459447,-0.503055,0.720099,-0.159585,13.003583,33.917583,-18.672073,-1.670656,0.655912,1.461288,-0.182328,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11796869.000000,-2.407266,-1.662371,1.046869,-1.361561,1.787461,1.093876,-0.552314,0.469213,0.011000,0.404766,-0.463367,-0.500285,0.732216,-0.164749,11.095319,33.501019,-18.080948,-2.063417,0.518583,1.383468,-0.116410,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11796870.000000,-2.406807,-1.662368,1.047335,-1.362055,1.786958,1.094671,-0.552475,0.468424,0.008650,0.422126,-0.469331,-0.500993,0.742351,-0.164703,9.361615,33.159832,-17.370804,-2.460146,0.332731,1.253463,-0.149369,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11796871.000000,-2.406354,-1.662362,1.047817,-1.362558,1.786461,1.095454,-0.552637,0.467428,0.010314,0.435969,-0.477526,-0.497970,0.755524,-0.163069,7.778669,32.790874,-16.755875,-2.658510,0.183500,1.090499,-0.130143,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11796872.000000,-2.405903,-1.662367,1.048304,-1.363049,1.785976,1.096235,-0.552800,0.465006,0.005603,0.450141,-0.480898,-0.487148,0.757476,-0.162181,6.441694,32.548870,-16.168716,-2.856874,0.105680,0.954086,-0.064225,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11796873.000000,-2.405461,-1.662371,1.048800,-1.363537,1.785481,1.097005,-0.552943,0.464593,0.002484,0.456089,-0.477332,-0.487730,0.773624,-0.154923,5.326887,32.302898,-15.502213,-3.178224,0.088285,0.869857,-0.169511,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11796874.000000,-2.405017,-1.662382,1.049306,-1.364013,1.784989,1.097783,-0.553102,0.455874,-0.001516,0.475023,-0.475091,-0.484678,0.774525,-0.156114,4.410444,32.132305,-14.962662,-3.499574,0.207303,0.804855,-0.116410,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11796875.000000,-2.404569,-1.662385,1.049794,-1.364481,1.784507,1.098556,-0.553256,0.451007,-0.002478,0.476761,-0.470127,-0.483767,0.767651,-0.154849,3.620954,31.886333,-14.276321,-3.820925,0.255826,0.824081,-0.116410,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11796876.000000,-2.404124,-1.662389,1.050305,-1.364959,1.784024,1.099307,-0.553406,0.446361,-0.003897,0.486162,-0.470466,-0.476977,0.761007,-0.151994,2.902875,31.668133,-13.812149,-3.943910,0.303434,0.908309,-0.169511,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11796877.000000,-2.403661,-1.662400,1.050797,-1.365439,1.783561,1.100057,-0.553558,0.446726,-0.007241,0.484424,-0.480166,-0.476977,0.749255,-0.152202,2.133222,31.545147,-13.197220,-3.820925,0.332731,1.006271,-0.163102,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11796878.000000,-2.403190,-1.662405,1.051301,-1.365925,1.783086,1.100812,-0.553716,0.451813,-0.005490,0.485088,-0.479433,-0.472841,0.765130,-0.157264,1.367536,31.374554,-12.657669,-3.598757,0.291532,1.012679,-0.142960,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11796879.000000,-2.402715,-1.662404,1.051820,-1.366424,1.782619,1.101575,-0.553870,0.458349,-0.002366,0.492976,-0.482966,-0.467309,0.765728,-0.160429,0.625654,31.128582,-12.336319,-3.154421,0.267728,0.928451,-0.116410,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11796880.000000,-2.402238,-1.662398,1.052338,-1.366911,1.782171,1.102342,-0.554021,0.460746,0.004430,0.499079,-0.482439,-0.467422,0.759423,-0.157283,-0.044818,30.811199,-12.141922,-2.833071,0.154203,0.857040,-0.136552,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11796881.000000,-2.401768,-1.662382,1.052871,-1.367391,1.781708,1.103093,-0.554170,0.463292,0.011635,0.508326,-0.482234,-0.465694,0.757440,-0.156565,-0.564532,30.394634,-12.018936,-2.606935,0.093778,0.863448,-0.142960,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11796882.000000,-2.401297,-1.662367,1.053395,-1.367857,1.781258,1.103840,-0.554324,0.464864,0.012244,0.520967,-0.475630,-0.465130,0.754715,-0.155731,-0.933489,30.049480,-11.848343,-2.658510,0.088285,0.882674,-0.130143,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11796883.000000,-2.400830,-1.662351,1.053926,-1.368318,1.780795,1.104594,-0.554481,0.463111,0.012984,0.519891,-0.473989,-0.466164,0.750866,-0.154501,-1.131854,29.684490,-11.673782,-2.733888,0.088285,0.980636,-0.122819,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11796884.000000,-2.400377,-1.662329,1.054481,-1.368778,1.780327,1.105329,-0.554637,0.460496,0.014647,0.526693,-0.464798,-0.466815,0.745972,-0.154463,-1.254840,29.267925,-11.626175,-2.856874,0.117582,1.142684,-0.103593,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11796885.000000,-2.399900,-1.662305,1.055027,-1.369226,1.779876,1.106071,-0.554787,0.462199,0.016400,0.534389,-0.461713,-0.465407,0.734698,-0.151086,-1.528582,28.827557,-11.479385,-3.003664,0.166105,1.214095,-0.169511,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11796886.000000,-2.399433,-1.662283,1.055589,-1.369672,1.779418,1.106827,-0.554951,0.465768,0.018666,0.537329,-0.452334,-0.461808,0.738875,-0.152448,-1.726946,28.458599,-11.404007,-3.202028,0.166105,1.117049,-0.136552,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11796887.000000,-2.398956,-1.662265,1.056161,-1.370128,1.778960,1.107604,-0.555109,0.465375,0.017432,0.556975,-0.448552,-0.456421,0.753591,-0.152651,-2.072100,28.216595,-11.281021,-3.277406,0.207303,0.954086,-0.122819,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11796888.000000,-2.398470,-1.662248,1.056732,-1.370570,1.778517,1.108379,-0.555257,0.469291,0.016313,0.564382,-0.447299,-0.454467,0.755897,-0.150183,-2.445025,27.994427,-11.134232,-3.277406,0.189908,0.863448,-0.175919,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11796889.000000,-2.397986,-1.662232,1.057307,-1.371005,1.778065,1.109126,-0.555416,0.472968,0.016165,0.566399,-0.438869,-0.453240,0.753692,-0.156807,-2.865557,27.871441,-10.916031,-3.424196,0.183500,0.889083,-0.130143,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11796890.000000,-2.397495,-1.662223,1.057883,-1.371436,1.777626,1.109882,-0.555569,0.475415,0.011282,0.568966,-0.438714,-0.448549,0.746324,-0.155142,-3.186907,27.847637,-10.618484,-3.475771,0.195402,0.915633,-0.136552,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11796891.000000,-2.397008,-1.662215,1.058468,-1.371868,1.777190,1.110634,-0.555724,0.489221,0.010374,0.567260,-0.433406,-0.447073,0.758709,-0.153437,-3.559832,27.847637,-10.277298,-3.598757,0.123990,0.901900,-0.116410,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11796892.000000,-2.396509,-1.662209,1.059065,-1.372291,1.776753,1.111386,-0.555870,0.492959,0.009356,0.590095,-0.430080,-0.441336,0.757095,-0.151255,-3.956561,27.871441,-9.983719,-3.697939,0.058073,0.908309,-0.155778,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11796893.000000,-2.396001,-1.662203,1.059669,-1.372704,1.776326,1.112146,-0.556020,0.497027,0.006628,0.592460,-0.423243,-0.435446,0.751207,-0.151667,-4.400897,27.871441,-9.785355,-3.868532,0.064481,0.895492,-0.149369,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11796894.000000,-2.395507,-1.662203,1.060288,-1.373115,1.775894,1.112892,-0.556170,0.495539,0.002392,0.598277,-0.419672,-0.431941,0.751251,-0.152125,-4.773821,27.970623,-9.662369,-4.066896,-0.001437,0.915633,-0.136552,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11796895.000000,-2.395004,-1.662204,1.060908,-1.373514,1.775467,1.113639,-0.556318,0.496767,0.002285,0.605987,-0.421480,-0.428854,0.744609,-0.150859,-5.166583,28.069805,-9.539383,-4.289064,0.022367,0.954086,-0.142960,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
